Job_title ; location ; Salary ; company ; Description 
Software Engineer;Salford, Greater Manchester;Competitive Salary + Benefits;BBC;Job Introduction We take a human-centred approach to software engineering, so when you join our talented team, you'll enjoy plenty of collaborative learning and mentoring opportunities to take your expertise further. The BBC is the perfect place for you to stretch yourself and work with the best. After all, celebrating our employees and investing in their well-being and development is not just a priority or an initiative - it is woven directly into our company fabric. Role Responsibility Collaborate with your team to further your software skills. Write & test software to address our system's requirements. Monitor the overall health of our systems. Use CI/CD & AWS technologies to implement operational & deployment infrastructure for our systems. Diagnose & troubleshoot problems with our systems in production ...and more! Are you the right candidate?
Software Engineer;City Centre, M2 3LR;£38469 - £56480 per annum;DWP Digital;Digital with Purpose. We're looking for Software Engineers to join our community of experts in DWP Digital. Together we're transforming how DWP works, and the services we provide to millions of people. Our Software Engineers build and support products and services that our users need to access support and payments worth over £195bn a year. You'll be part of a multidisciplinary team, working collaboration with architects and engineers, to design and build software products that more efficient, accessible, and available for ALL users. We use our own internally developed services along with core 'off-the-shelf' products. We work with a mix of Java and JavaScript. For this role knowledge of JavaScript is key but knowledge of both is desirable * We have 1bn lines of code in over 12,000 code repos and 90+ programming languages.
Refrigeration Software Engineer;M44, Manchester;Bupa, holidays, bonus, pension, share purchase options;Azenta LTD;Azenta Life Sciences is seeking a Refrigeration Software Engineer to join our growing and dynamic organization. ThisRefrigeration Software Engineerwill perform design, development, testing, documentation, and analysis of software applications for company products focused on the refrigeration space. Assignments include development of new programs and subprograms, as well as enhancements, modifications, and corrections to existing software/software systems. What Youll Do * Duties include designing application, writing code, completing programming, developing and executing testing and debugging routines, and documenting work and results. * Responsible for developing or executing project plans, budgets, and schedules and for documentation of work and results.
Software Engineer (TypeScript, Node, AWS);Manchester, Greater Manchester;£45000 - £55000 per annum;Oscar Associates (UK) Limited;Back-End Software Engineer | NodeJS, Typescript, AWS| £55,000 | Green Energy SaaS Platform | Manchester/ Remote A SaaS scale-up renewable energy platform has just secured huge investment and is looking for a Software Engineer to join their Manchester Team. As a Back-End Software Engineer, you will be building new features and functionalities for an already established Green Energy SaaS platform. You will be working in a collaborative team where you will be involved in all of aspects of the software development life cycle including writing server side NodeJS code, developing new user interfaces, designing and delivering new features, and being involved in architectural decisions. NodeJS, Typescript, AWS * NodeJS, Typescript * AWS * MongoDB * React (advantageous)
Software Engineer;Salford, Greater Manchester;Competitive Salary + Benefits;BBC;Job Introduction The BBC is one of the UK's most well-known and loved brands and is a unique and rewarding organisation to work for. The iPlayer and Sounds department builds some of our most used online products, with a mission to secure the Internet future of the organisation. iPlayer & Sounds are key destinations for our audiences discovering BBC content on TV devices. Enhancing our broadcast channels with Live Restart and Ultra High Definition content, and being able to promote personally relevant streamed content to people, is of strategic importance to us. Our products are underpinned by a technically diverse architecture, blending contemporary cloud services and well-established broadcast engineering. Combined they offer a unique opportunity to use and develop a broad range of technical skills.
Mobile Software Engineer - IOS & Android - All Levels;Salford, Greater Manchester;Competitive Salary + Benefits;BBC;Job Introduction Role Responsibility As a Mobile Software Engineer you will contribute the development of features, fix bugs and issues, review code from others in the team and make a key contribution to the entire development lifecycle, from conception and discovery through development and delivery. Everybody on the team has a say in how we work, so you need to be able to work with others across disciplines - collaborating with UX designers, API engineers, testers and product owners so that together we can make everything we do the best it can possibly be. You'll help create team goals and objectives, contribute feature ideas and discuss the future direction of the product, and give input in retrospectives on how we're performing as a team and what we can do to improve.
Software Engineer;L39, Ormskirk;£45000 - £75000 per annum;GPW Recruitment;Job Title: Software Engineer Duration: Perm Location: Ormskirk Salary: £ 45000 - £75000 We're looking for a talented Software Engineer to work for our client based in Ormskirk, Lancashire. If that's you then you could be exactly what they're looking for. As the Software Engineer you will be primarily responsible for developing and supporting in-house software applications. The applications are for factory automation and will require Software Engineers with skills in low-level C software development in real-time environments. Travel is an integral part of the role and will consists of short design trips as well as trips of around 4 weeks at a time supervising the commissioning phases. HSE & Standards
Software Engineer;M1, Manchester;From £35,000 to £75,000 per annum;Stealth It Recruitment Ltd;As the leading digital innovation, design and transformation brand, we enable CxOs to envision and shape the future of their businesses. We comprise a 10,000+ strong team of strategists, data scientists, product and experience designers, brand experts and technologists who develop new digital services, products, experiences and business models for sustainable growth. We are a global leader in partnering with companies to transform and manage their business by harnessing the power of technology. Get The Future You Want Our software engineers are responsible for creating the visions of our clients and driving better business outcomes. They are tasked with building cutting-edge digital solutions for our clients, combining a clear understanding of business value and a consultative approach to make the difference.
Software Engineer;Manchester, Greater Manchester;Competitive;ARM;We are looking for a hardworking software engineer with proven understanding of modern C++, to join our profiling tools team. These profiling tools, including Arm's Streamline profiler, touch all layers of the software stack, collecting performance data from across a target system and providing our users with rich data visualizations in the host tool. The role involves cooperating with highly motivated engineers from different backgrounds, and customers throughout the world, to design, and develop the next generation of Arm's performance analysis tools for Arm CPUs and Mali GPUs. Engineers on the team develop new features, maintain existing ones, and support the engineering infrastructure for build, test, and continuous integration.
Software Engineer;Knott Mill, M1;Unspecified;Amber Resourcing;Mid-Level Software Engineer | £45,000 - £50,000 Basic | Manchester Central (Hybrid Working) .Net Core | .Net 5 | C# | AWS | Kubernetes | Angular | Azure DevOps | TeamCity | Octopus | Google Cloud Platform GCP The Company - Software Engineer My client are one of the fastest growing FinTechs in the UK. They have received several rounds of investment including £10 million recently. They have flourished across the last few years, including success over the covid period, and are now looking to invest into the technical team. They are in process of expanding their product suite and therefore are looking for a Senior Software Engineer to add to the team to help create a host of greenfield projects. They operate in the B2B fintech space. Their products vary from payment automation, AI-based solutions, payments solutions.
